id,acc,pre,rec,f1s,iou
1579,0.540754,0.421053,0.535117,0.471281,0.308285
1580,0.921827,0.881098,0.926282,0.903125,0.823362
1581,0.895217,0.946128,0.826471,0.882261,0.789326
1582,0.997076,0.989051,1.000000,0.994495,0.989051
1583,0.937251,0.881533,0.940520,0.910072,0.834983
1584,0.925473,0.973485,0.865320,0.916221,0.845395
1585,0.969048,0.947552,0.967857,0.957597,0.918644
1586,0.952333,0.831858,0.969072,0.895238,0.810345
1587,0.923465,0.821012,0.929515,0.871901,0.772894
1588,0.495935,0.000000,0.000000,0.000000,0.000000
1589,0.935188,0.956522,0.894915,0.924694,0.859935
1590,0.958045,0.950000,0.938272,0.944099,0.894118
1591,0.950674,0.936709,0.928870,0.932773,0.874016
1592,0.921651,0.787129,0.913793,0.845745,0.732719
1593,0.917837,0.857494,0.972145,0.911227,0.836930
1594,0.987805,1.000000,0.975610,0.987654,0.975610
1595,0.831753,0.791304,0.752066,0.771186,0.627586
1596,0.968267,0.922559,0.982079,0.951389,0.907285
1597,0.943340,0.856410,0.932961,0.893048,0.806763
1598,0.865879,0.894737,0.828205,0.860186,0.754673
1599,0.899976,0.988327,0.806349,0.888112,0.798742
1600,0.909722,1.000000,0.819444,0.900763,0.819444
1601,0.796200,0.963855,0.597015,0.737327,0.583942
1602,0.963785,0.953177,0.956376,0.954774,0.913462
1603,0.884319,0.763713,0.866029,0.811659,0.683019
1604,0.974018,0.950382,0.972656,0.961390,0.925651
1605,0.985294,0.956522,1.000000,0.977778,0.956522
1606,0.965462,0.953333,0.959732,0.956522,0.916667
1607,0.974934,1.000000,0.949868,0.974290,0.949868
1608,0.829848,0.771218,0.779851,0.775510,0.633333
1609,0.753745,0.690083,0.649805,0.669339,0.503012
1610,0.960305,0.954545,0.943820,0.949153,0.903226
1611,0.963754,0.948000,0.951807,0.949900,0.904580
1612,0.760908,0.613139,0.714894,0.660118,0.492669
1613,0.967573,0.963563,0.952000,0.957746,0.918919
1614,0.716842,0.570866,0.630435,0.599174,0.427729
1615,0.943489,0.981884,0.897351,0.937716,0.882736
1616,0.974319,0.972222,0.972222,0.972222,0.945946
1617,0.936041,0.885965,0.918182,0.901786,0.821138
1618,0.874078,0.810000,0.861702,0.835052,0.716814
1619,0.877029,0.745192,0.842391,0.790816,0.654008
1620,0.980357,0.947368,0.993103,0.969697,0.941176
1621,0.853233,0.829694,0.778689,0.803383,0.671378
1622,0.827180,0.919708,0.705882,0.798732,0.664908
1623,0.961535,0.938931,0.953488,0.946154,0.897810
1624,0.924710,0.982759,0.857143,0.915663,0.844444
1625,0.893601,0.925000,0.822222,0.870588,0.770833
1626,0.954847,0.924324,0.974359,0.948682,0.902375
1627,0.939077,0.940397,0.916129,0.928105,0.865854
1628,0.779176,0.927083,0.587459,0.719192,0.561514
1629,0.770665,0.768293,0.656250,0.707865,0.547826
1630,0.480442,0.000000,0.000000,0.000000,0.000000
1631,0.979719,0.846154,1.000000,0.916667,0.846154
