id,acc,pre,rec,f1s,iou
163,0.859672,0.813472,0.781095,0.796954,0.662447
164,0.817941,0.672897,0.753927,0.711111,0.551724
165,0.971215,0.925926,0.961538,0.943396,0.892857
166,0.631622,0.575221,0.343915,0.430464,0.274262
167,0.904908,1.000000,0.809816,0.894915,0.809816
168,0.687160,0.582734,0.600000,0.591241,0.419689
169,0.589128,0.314741,0.459302,0.373522,0.229651
170,0.809410,0.843478,0.690391,0.759295,0.611987
171,0.905884,0.826923,0.873096,0.849383,0.738197
172,0.963888,0.952880,0.943005,0.947917,0.900990
173,0.506172,0.375000,0.029557,0.054795,0.028169
174,0.553059,0.440000,0.176471,0.251908,0.144105
175,0.550264,0.500000,0.143646,0.223176,0.125604
176,0.947225,0.862944,0.939227,0.899471,0.817308
177,0.743949,0.590674,0.619565,0.604775,0.433460
178,0.722721,0.547170,0.607330,0.575682,0.404181
179,0.504339,0.437500,0.026119,0.049296,0.025271
180,0.764867,0.584746,0.696970,0.635945,0.466216
181,0.701620,0.796748,0.447489,0.573099,0.401639
182,0.928493,0.863454,0.918803,0.890269,0.802239
183,0.908620,0.906250,0.872910,0.889267,0.800613
184,0.687619,0.556075,0.543379,0.549654,0.378981
185,0.895137,0.872024,0.885196,0.878561,0.783422
186,0.856586,0.680982,0.906122,0.777583,0.636103
187,0.704663,0.568047,0.530387,0.548571,0.377953
188,0.904529,0.885714,0.842391,0.863510,0.759804
189,0.884799,0.781818,0.826923,0.803738,0.671875
190,0.962930,0.928571,0.954128,0.941176,0.888889
191,0.826447,0.703390,0.775701,0.737778,0.584507
192,0.819531,0.761538,0.687500,0.722628,0.565714
193,0.689888,0.733333,0.443946,0.553073,0.382239
194,0.899534,0.859259,0.828571,0.843636,0.729560
195,0.907119,0.918750,0.872404,0.894977,0.809917
196,0.952261,0.967871,0.919847,0.943249,0.892593
197,0.658112,0.618234,0.623563,0.620887,0.450207
198,0.859278,0.683962,0.828571,0.749354,0.599174
199,0.786882,0.744565,0.655502,0.697201,0.535156
200,0.674842,0.967742,0.352941,0.517241,0.348837
201,0.742001,0.692308,0.676471,0.684298,0.520101
202,0.791417,0.758389,0.642045,0.695385,0.533019
203,0.689680,0.594872,0.520179,0.555024,0.384106
204,0.707047,0.481481,0.597701,0.533333,0.363636
205,0.932042,0.966019,0.876652,0.919169,0.850427
206,0.883997,0.903553,0.801802,0.849642,0.738589
207,0.831633,0.752577,0.744898,0.748718,0.598361
208,0.878658,0.716561,0.922131,0.806452,0.675676
209,0.802742,0.702703,0.675325,0.688742,0.525253
210,0.678711,0.711864,0.415842,0.525000,0.355932
211,0.970964,0.915966,0.977578,0.945770,0.897119
212,0.809591,0.656805,0.711538,0.683077,0.518692
213,0.859377,0.809249,0.773481,0.790960,0.654206
214,0.867110,0.722944,0.843434,0.778555,0.637405
215,0.805777,0.739726,0.763251,0.751304,0.601671
216,0.867258,0.979310,0.739583,0.842730,0.728205
217,0.501645,1.000000,0.003289,0.006557,0.003289
218,0.770445,0.870229,0.570000,0.688822,0.525346
219,0.696755,0.590517,0.568465,0.579281,0.407738
220,0.821041,0.755700,0.794521,0.774624,0.632153
221,0.555468,0.412281,0.227053,0.292835,0.171533
222,0.918786,0.961538,0.847458,0.900901,0.819672
223,0.856972,0.951327,0.736301,0.830116,0.709571
224,0.680181,0.654971,0.468619,0.546341,0.375839
225,0.943499,0.971074,0.900383,0.934394,0.876866
226,0.911733,0.897297,0.855670,0.875989,0.779343
227,0.519922,0.555556,0.061983,0.111524,0.059055
228,0.579097,0.344444,0.352273,0.348315,0.210884
229,0.937498,0.800699,0.978632,0.880769,0.786942
230,0.844158,0.680451,0.837963,0.751037,0.601329
231,0.507298,0.457143,0.053691,0.096096,0.050473
232,0.775519,0.727273,0.709898,0.718480,0.560647
233,0.809609,0.991228,0.620879,0.763514,0.617486
234,0.880755,0.759434,0.847368,0.800995,0.668050
235,0.927194,0.832258,0.955556,0.889655,0.801242
236,0.504727,0.283422,0.245370,0.263027,0.151429
237,0.934292,0.859649,0.924528,0.890909,0.803279
238,0.877521,0.814070,0.818182,0.816121,0.689362
239,0.932234,0.972350,0.875519,0.921397,0.854251
240,0.500633,0.275862,0.037915,0.066667,0.034483
241,0.930447,0.853081,0.913706,0.882353,0.789474
242,0.833130,0.820598,0.781646,0.800648,0.667568
243,0.461527,0.109890,0.056497,0.074627,0.038760
244,0.633158,0.587838,0.376623,0.459103,0.297945
245,0.631855,0.987654,0.265781,0.418848,0.264901
246,0.783773,0.594017,0.727749,0.654118,0.486014
247,0.666256,0.691057,0.399061,0.505952,0.338645
248,0.937763,0.929825,0.929825,0.929825,0.868852
249,0.915816,0.876923,0.872449,0.874680,0.777273
250,0.560652,0.444444,0.177215,0.253394,0.145078
251,0.656218,0.433962,0.511111,0.469388,0.306667
252,0.775957,0.606218,0.676301,0.639344,0.469880
253,0.939758,0.810606,0.968326,0.882474,0.789668
254,0.848995,0.737374,0.784946,0.760417,0.613445
255,0.761352,0.899160,0.543147,0.677215,0.511962
256,0.863452,0.823741,0.823741,0.823741,0.700306
257,0.720279,0.901961,0.457711,0.607261,0.436019
258,0.923182,0.946429,0.877483,0.910653,0.835962
259,0.725930,0.658031,0.569507,0.610577,0.439446
260,0.756212,0.891192,0.556634,0.685259,0.521212
261,0.952064,0.907895,0.926174,0.916944,0.846626
262,0.936332,0.881356,0.906977,0.893983,0.808290
263,0.748848,1.000000,0.497696,0.664615,0.497696
264,0.904014,0.836158,0.855491,0.845714,0.732673
265,0.824426,0.755474,0.778195,0.766667,0.621622
266,0.932267,0.842391,0.911765,0.875706,0.778894
267,0.613889,0.845238,0.253571,0.390110,0.242321
268,0.909430,0.772436,0.952569,0.853097,0.743827
269,0.482941,0.145455,0.043956,0.067511,0.034934
270,0.751706,0.634021,0.624365,0.629156,0.458955
271,0.767504,0.829960,0.626911,0.714286,0.555556
272,0.527694,0.369458,0.296443,0.328947,0.196850
273,0.900795,0.822430,0.866995,0.844125,0.730290
274,0.835281,0.812317,0.814706,0.813510,0.685644
275,0.510953,0.342466,0.294118,0.316456,0.187970
276,0.691762,0.816667,0.455108,0.584493,0.412921
277,0.858282,0.923611,0.734807,0.818462,0.692708
278,0.786565,0.757396,0.643216,0.695652,0.533333
279,0.798653,0.951542,0.622478,0.752613,0.603352
280,0.924444,0.904348,0.888889,0.896552,0.812500
281,0.517734,0.923077,0.037618,0.072289,0.037500
282,0.643672,0.833333,0.305556,0.447154,0.287958
283,0.918170,0.864035,0.891403,0.877506,0.781746
284,0.803369,0.678112,0.738318,0.706935,0.546713
285,0.835528,0.968354,0.680000,0.798956,0.665217
286,0.884993,0.897059,0.792208,0.841379,0.726190
287,0.607915,0.632353,0.313869,0.419512,0.265432
288,0.900706,0.924242,0.828054,0.873508,0.775424
289,0.856676,0.839080,0.841499,0.840288,0.724566
290,0.806920,0.759398,0.664474,0.708772,0.548913
291,0.893379,0.774411,0.912698,0.837887,0.721003
292,0.926236,0.935252,0.866667,0.899654,0.817610
293,0.861122,0.830688,0.777228,0.803069,0.670940
294,0.431227,0.000000,0.000000,0.000000,0.000000
295,0.924640,0.839196,0.902703,0.869792,0.769585
296,0.931489,0.963415,0.872928,0.915942,0.844920
297,0.942093,0.930233,0.903955,0.916905,0.846561
298,0.929405,0.977528,0.865672,0.918206,0.848780
299,0.925238,0.897959,0.874172,0.885906,0.795181
300,0.587221,0.420732,0.338235,0.375000,0.230769
301,0.753337,0.868687,0.527607,0.656489,0.488636
302,0.920004,0.852273,0.882353,0.867052,0.765306
303,0.796452,0.703571,0.751908,0.726937,0.571014
304,0.801006,0.806250,0.654822,0.722689,0.565789
305,0.870628,0.648649,0.867470,0.742268,0.590164
306,0.780838,0.980392,0.564972,0.716846,0.558659
307,0.846032,0.742424,0.777778,0.759690,0.612500
308,0.923463,0.912621,0.878505,0.895238,0.810345
309,0.639610,1.000000,0.279221,0.436548,0.279221
310,0.854308,0.810127,0.757396,0.782875,0.643216
311,0.968764,0.958333,0.961672,0.960000,0.923077
312,0.932819,0.863636,0.924779,0.893162,0.806950
313,0.780446,0.713235,0.713235,0.713235,0.554286
314,0.900249,0.969880,0.809045,0.882192,0.789216
315,0.765204,0.761421,0.617284,0.681818,0.517241
316,0.964170,0.945205,0.949541,0.947368,0.900000
317,0.758843,0.711610,0.671378,0.690909,0.527778
318,0.829312,0.803681,0.711957,0.755043,0.606481
319,0.505102,1.000000,0.010204,0.020202,0.010204
320,0.621212,0.847458,0.284091,0.425532,0.270270
321,0.729437,0.630682,0.569231,0.598383,0.426923
322,0.626768,0.939024,0.263699,0.411765,0.259259
323,0.816917,0.710526,0.725806,0.718085,0.560166
324,0.962842,0.928571,0.959016,0.943548,0.893130
325,0.939094,0.789238,0.956522,0.864865,0.761905
326,0.974865,0.921053,0.981308,0.950226,0.905172
327,0.698988,0.831579,0.424731,0.562278,0.391089
328,0.917257,0.860000,0.882051,0.870886,0.771300
329,0.793737,0.961240,0.596154,0.735905,0.582160
330,0.931448,0.949458,0.891525,0.919580,0.851133
331,0.953692,0.980769,0.917266,0.947955,0.901060
332,0.812598,0.821192,0.670270,0.738095,0.584906
333,0.819731,0.691542,0.743316,0.716495,0.558233
334,0.924528,0.814070,0.910112,0.859416,0.753488
335,0.930905,0.986014,0.865031,0.921569,0.854545
336,0.824342,0.938547,0.669323,0.781395,0.641221
337,0.844875,0.836910,0.761719,0.797546,0.663265
338,0.629288,0.486301,0.383784,0.429003,0.273077
339,0.847690,0.797297,0.776316,0.786667,0.648352
340,0.979424,0.885135,0.984962,0.932384,0.873333
341,0.894058,0.925110,0.820312,0.869565,0.769231
342,0.689931,0.570033,0.638686,0.602410,0.431034
343,0.869175,0.885135,0.766082,0.821317,0.696809
344,0.810946,0.715385,0.759184,0.736634,0.583072
345,0.920106,0.774336,0.925926,0.843373,0.729167
346,0.815862,0.853147,0.666667,0.748466,0.598039
347,0.632443,0.960000,0.270677,0.422287,0.267658
348,0.981605,0.894231,1.000000,0.944162,0.894231
349,0.597789,0.480000,0.306122,0.373832,0.229885
350,0.923469,0.905263,0.877551,0.891192,0.803738
351,0.921693,0.653179,0.933884,0.768707,0.624309
352,0.754823,0.908654,0.552632,0.687273,0.523546
353,0.881159,0.811828,0.820652,0.816216,0.689498
354,0.952935,0.829493,0.967742,0.893300,0.807175
355,0.681869,0.666667,0.471545,0.552381,0.381579
356,0.715739,0.664557,0.522388,0.584958,0.413386
357,0.658945,0.894737,0.331707,0.483986,0.319249
358,0.943889,0.851528,0.946602,0.896552,0.812500
359,0.781744,0.602804,0.704918,0.649874,0.481343
360,0.744839,0.634409,0.605128,0.619423,0.448669
361,0.640059,0.641509,0.389313,0.484561,0.319749
362,0.757176,0.585492,0.645714,0.614130,0.443137
363,0.640438,0.677966,0.349345,0.461095,0.299625
364,0.880672,0.827434,0.831111,0.829268,0.708333
365,0.926563,0.826087,0.922330,0.871560,0.772358
366,0.918878,0.957576,0.849462,0.900285,0.818653
367,0.709980,0.913669,0.444056,0.597647,0.426174
368,0.784187,0.743151,0.723333,0.733108,0.578667
369,0.903452,0.752688,0.880503,0.811594,0.682927
370,0.662200,0.609467,0.443966,0.513716,0.345638
371,0.934272,0.895028,0.900000,0.897507,0.814070
372,0.679884,0.554502,0.527027,0.540416,0.370253
373,0.854232,0.846939,0.761468,0.801932,0.669355
374,0.801835,0.379310,0.758621,0.505747,0.338462
375,0.818013,0.681159,0.796610,0.734375,0.580247
376,0.935683,0.938710,0.912226,0.925278,0.860947
377,0.764133,0.618812,0.657895,0.637755,0.468165
378,0.842226,0.921569,0.705000,0.798867,0.665094
379,0.879549,0.881188,0.801802,0.839623,0.723577
380,0.929093,0.951923,0.876106,0.912442,0.838983
381,0.805525,0.600000,0.735849,0.661017,0.493671
382,0.568409,0.450549,0.220430,0.296029,0.173729
383,0.835386,0.808050,0.805556,0.806801,0.676166
384,0.536000,0.933333,0.073684,0.136585,0.073298
385,0.752044,0.625698,0.615385,0.620499,0.449799
386,0.443257,0.131737,0.125000,0.128280,0.068536
387,0.584235,0.391089,0.381643,0.386308,0.239394
388,0.898552,0.861818,0.871324,0.866545,0.764516
389,0.677465,0.384858,0.677778,0.490946,0.325333
390,0.471444,0.096916,0.239130,0.137931,0.074074
391,0.945994,0.904306,0.926471,0.915254,0.843750
392,0.509589,0.238372,0.234286,0.236311,0.133987
393,0.872256,0.830508,0.794595,0.812155,0.683721
394,0.929239,0.967742,0.871369,0.917031,0.846774
395,0.834148,0.846995,0.717593,0.776942,0.635246
396,0.922061,0.853403,0.890710,0.871658,0.772512
397,0.900213,0.962500,0.810526,0.880000,0.785714
398,0.602696,0.497207,0.370833,0.424821,0.269697
399,0.678380,0.543750,0.478022,0.508772,0.341176
400,0.844603,0.695489,0.833333,0.758197,0.610561
